date_time,count,running_total
4/7/21,11,19090
5/7/21,8,19098
6/7/21,7,19105
7/7/21,4,19109
8/7/21,10,19119
9/7/21,10,19129
10/7/21,2,19131
11/7/21,8,19139
12/7/21,5,19144
13/7/21,16,19160
14/7/21,34,19194
15/7/21,25,19219
16/7/21,3,19222
17/7/21,12,19234
18/7/21,24,19258
19/7/21,8,19266
20/7/21,7,19273
21/7/21,19,19292
22/7/21,23,19315
23/7/21,12,19327
24/7/21,4,19331
25/7/21,3,19334
26/7/21,17,19351
27/7/21,7,19358
28/7/21,5,19363
29/7/21,14,19377
30/7/21,13,19390
31/7/21,3,19393
1/8/21,7,19400
2/8/21,13,19413
3/8/21,4,19417
4/8/21,5,19422
5/8/21,61,19483
6/8/21,11,19494
7/8/21,1,19495
8/8/21,20,19515
9/8/21,18,19533
10/8/21,3,19536
11/8/21,8,19544
13/8/21,4,19548
14/8/21,2,19550
16/8/21,24,19574
17/8/21,15,19589
18/8/21,2,19591
19/8/21,21,19612
20/8/21,4,19616
21/8/21,42,19658
22/8/21,5,19663
23/8/21,6,19669
24/8/21,4,19673
25/8/21,15,19688
26/8/21,25,19713
27/8/21,5,19718
28/8/21,33,19751
29/8/21,14,19765
30/8/21,9,19774
31/8/21,2,19776
1/9/21,3,19779
2/9/21,7,19786
3/9/21,3,19789
4/9/21,1,19790
5/9/21,10,19800
6/9/21,4,19804
7/9/21,11,19815
8/9/21,52,19867
9/9/21,1,19868
10/9/21,15,19883
11/9/21,14,19897
12/9/21,7,19904
13/9/21,6,19910
15/9/21,8,19918
16/9/21,4,19922
17/9/21,1,19923
19/9/21,3,19926
20/9/21,3,19929
22/9/21,8,19937
23/9/21,17,19954
24/9/21,8,19962
25/9/21,49,20011
26/9/21,4,20015
27/9/21,2,20017
29/9/21,5,20022
30/9/21,2,20024
1/10/21,42,20066
2/10/21,13,20079
3/10/21,10,20089
4/10/21,1,20090
5/10/21,12,20102
6/10/21,5,20107
7/10/21,1,20108
9/10/21,1,20109
10/10/21,16,20125
11/10/21,2,20127
12/10/21,6,20133
13/10/21,24,20157
14/10/21,10,20167
15/10/21,1,20168
16/10/21,22,20190
17/10/21,12,20202
18/10/21,2,20204
19/10/21,29,20233
20/10/21,4,20237
22/10/21,2,20239
23/10/21,6,20245
24/10/21,4,20249
25/10/21,1,20250
26/10/21,4,20254
28/10/21,13,20267
29/10/21,12,20279
30/10/21,1,20280
31/10/21,6,20286
1/11/21,2,20288
3/11/21,5,20293
4/11/21,24,20317
5/11/21,2,20319
6/11/21,2,20321
7/11/21,18,20339
8/11/21,4,20343
9/11/21,6,20349
10/11/21,19,20368
11/11/21,3,20371
12/11/21,1,20372
13/11/21,1,20373
14/11/21,7,20380
15/11/21,11,20391
16/11/21,5,20396
17/11/21,6,20402
18/11/21,2,20404
19/11/21,1,20405
20/11/21,1,20406
22/11/21,6,20412
23/11/21,14,20426
24/11/21,1,20427
25/11/21,2,20429
26/11/21,12,20441
27/11/21,1,20442
28/11/21,5,20447
29/11/21,46,20493
30/11/21,5,20498
1/12/21,6,20504
2/12/21,7,20511
3/12/21,3,20514
4/12/21,4,20518
5/12/21,11,20529
6/12/21,4,20533
7/12/21,1,20534
9/12/21,34,20568
10/12/21,2,20570
11/12/21,57,20627
12/12/21,27,20654
13/12/21,33,20687
14/12/21,1,20688
15/12/21,3,20691
16/12/21,3,20694
17/12/21,46,20740
18/12/21,31,20771
19/12/21,4,20775
20/12/21,10,20785
21/12/21,54,20839
22/12/21,6,20845
23/12/21,1,20846
24/12/21,2,20848
25/12/21,12,20860
27/12/21,3,20863
28/12/21,2,20865
29/12/21,5,20870
30/12/21,4,20874
31/12/21,15,20889
1/1/22,13,20902
2/1/22,24,20926
3/1/22,227,21153
